Latitude,Longitude,Genus,Date.Planted,Diameter.Breast.Height,Useful.Life.Expectency.Value,Located.in,Year.Planted
-37.81604262,144.9787405,Pittosporum,10/12/1998,20,30,Park,1998
-37.81622287,144.9803589,Elaeocarpus,12/5/2020,NA,NA,Park,2020
-37.81584379,144.976829,Ulmus,10/12/1998,36,30,Park,1998
-37.81313393,144.9764499,Agonis,16/10/1998,101,20,Park,1998
-37.81287074,144.979959,Archontophoenix,19/08/2016,NA,NA,Park,2016
-37.81268821,144.9790791,Platanus,14/10/1998,81,5,Park,1998
-37.81578366,144.9783388,Acacia,24/08/2017,NA,NA,Street,2017
-37.81635805,144.9777285,Platanus,20/11/1997,73,10,Street,1997
-37.81459324,144.9798111,Acacia,4/12/2014,NA,NA,Park,2014
-37.81500898,144.9799229,Nothofagus,10/6/2015,NA,NA,Park,2015
-37.81301273,144.9826375,Araucaria,16/10/1998,106,60,Park,1998
-37.81145385,144.9817,Tristaniopsis,,56,30,Park,NA
-37.81079876,144.9762171,Populus,29/05/2020,NA,NA,Street,2020
-37.81318809,144.9803866,Washingtonia,14/10/1998,30,60,Park,1998
-37.81618261,144.9796251,UNKNOWN,12/5/2020,NA,NA,Park,2020
-37.8165878,144.9795633,Platanus,26/11/1997,56,20,Street,1997
-37.81220242,144.9781204,Ulmus,14/10/1998,129,20,Park,1998
-37.81327084,144.976787,Populus,16/10/1998,101,20,Park,1998
-37.81561357,144.9768516,Acacia,24/08/2017,NA,NA,Street,2017
-37.81493709,144.9783435,Ulmus,1/1/2000,147,10,Park,2000
-37.81466973,144.9812442,Ulmus,13/10/1998,113,5,Park,1998
-37.81466051,144.9802439,Ulmus,13/10/1998,106,5,Park,1998
-37.81649954,144.976827,Pyrus,19/10/2010,NA,NA,Street,2010
-37.81542277,144.9815922,Ulmus,14/08/2017,NA,NA,Park,2017
-37.81324431,144.9782699,Ulmus,9/6/2020,NA,NA,Park,2020
-37.81170295,144.9822896,Ligustrum,15/10/1998,68,20,Park,1998
-37.81163918,144.9817185,UNKNOWN,2/1/2000,NA,NA,Park,2000
-37.81177491,144.9797222,Cordyline,15/05/2015,NA,NA,Park,2015
-37.81615258,144.978857,Lophostemon,10/12/1998,54,30,Park,1998
-37.81501663,144.9797696,Livistona,16/10/2014,NA,NA,Park,2014
-37.81489511,144.9807501,Ulmus,,8,80,Park,NA
-37.81511096,144.9798317,Acacia,2/9/2016,NA,NA,Park,2016
-37.81224198,144.982234,Ulmus,15/10/1998,124,10,Park,1998
-37.81582979,144.9786789,Ulmus,10/12/1998,NA,NA,Street,1998
-37.81131012,144.9793463,Metasequoia,1/1/2000,29,80,Park,2000
-37.81621115,144.9787571,Ulmus,10/12/1998,17,60,Park,1998
-37.81503823,144.979905,Nothofagus,10/6/2015,NA,NA,Park,2015
-37.81366629,144.9753882,Ficus,1/1/2000,197,20,Park,2000
-37.81427753,144.980109,Ulmus,13/10/1998,132,20,Park,1998
-37.81187352,144.9794661,Washingtonia,18/05/2015,NA,NA,Park,2015
-37.81088002,144.97875,Pinus,6/6/2013,NA,NA,Park,2013
-37.81603837,144.9785925,Pittosporum,10/12/1998,16,20,Park,1998
-37.81161394,144.9814817,Cordyline,4/5/2015,NA,NA,Park,2015
-37.81294046,144.9799883,Stenocarpus,17/11/2017,NA,NA,Park,2017
-37.81110004,144.98232,Grevillea,30/04/2014,NA,NA,Park,2014
-37.81494037,144.9779417,Ulmus,10/12/1998,148,20,Park,1998
-37.81196248,144.9770529,Platanus,21/11/1997,44,30,Street,1997
-37.81334722,144.9791358,Ulmus,9/6/2020,NA,NA,Park,2020
-37.81354263,144.978665,Livistona,13/10/1998,34,60,Park,1998
-37.81329646,144.9787562,Ulmus,9/6/2020,NA,NA,Park,2020
-37.81522911,144.9825333,Harpephyllum,30/04/2007,36,80,Park,2007
-37.81594208,144.9761506,Ulmus,10/12/1998,78,10,Park,1998
